Location,REG 87,REG E‑15,MID 89,SUP 91,REG E‑10,MID E‑5,ULS Diesel,ULSD#1,Furnace Oil,Stove Oil
"Halifax, NS",,,143.8,148.0,139.6,,181.8,,146.1,162.0
"Charlottetown, PEI",156.1,,157.35,165.1,,,189.2,,148.6,194.6
"Saint John, NB",,,146.45,162.6,143.5,,183.7,,144.7,167.8
"Montreal, QC",,141.9,151.15,155.9,,151.15,191.8,197.8,177.3,196.8
"Quebec, QC",,141.9,151.15,155.9,,,191.8,197.8,177.3,196.8
"Rimouski, QC",,143.4,149.65,157.4,,,193.3,199.3,178.8,198.3
"Ottawa, ON",140.7,,146.45,167.0,140.7,,179.9,189.9,179.9,189.9
"Belleville, ON",141.3,,147.05,167.6,141.3,,179.4,189.4,179.4,189.4
"Toronto, ON",139.2,,,156.7,139.2,143.95,175.9,185.9,175.9,185.9
"Oakville, ON",139.2,,,156.7,139.2,143.95,175.9,185.9,175.9,185.9
"Hamilton, ON",139.2,,,156.7,139.2,143.95,175.9,185.9,175.9,185.9
"Nanticoke, ON",,,143.95,156.7,139.2,,175.9,185.9,175.9,185.9
"London, ON",138.2,,,155.7,138.2,142.95,173.9,183.9,173.9,183.9
"Sarnia, ON",,,142.95,155.7,138.2,,173.9,183.9,173.9,183.9
"Sault Ste. Marie, ON",142.1,,146.85,159.6,,,180.4,191.4,180.4,190.4
"Thunder Bay, ON",149.9,,160.9,172.9,,,169.0,172.2,169.0,172.2
"Edmonton, AB",142.7,,153.2,165.7,142.7,,165.3,167.8,165.3,167.8
"Winnipeg, MB",145.8,,,168.8,145.8,156.3,168.7,171.2,168.7,171.2
"Saskatoon, SK",,,,168.3,145.3,155.8,167.8,170.3,167.8,
"Regina, SK",144.3,,,167.3,144.3,154.8,166.2,168.7,166.2,
"Calgary, AB",,,156.0,168.5,145.5,,168.5,171.0,168.5,171.0
"Fort McMurray, AB",,,,,,,168.2,170.7,168.2,
"Hay River, NWT",153.6,,164.1,176.6,,,177.7,180.2,177.7,
"Terrace, BC",162.6,,172.1,185.6,162.6,,190.7,193.2,190.7,193.2
"Prince George, BC",158.0,,,181.0,158.0,167.5,186.7,189.2,186.7,189.2
"Kamloops, BC",161.4,,,184.4,161.4,171.9,190.3,192.8,190.3,192.8
"Vancouver, BC",162.7,,,180.2,162.7,171.2,201.0,205.5,201.0,205.5
"Nanaimo, BC",164.8,,173.3,182.3,164.8,173.3,203.1,207.6,203.1,207.6
